,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
19109,s6333,Movie,Bleed for This,Ben Younger,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds, Ted Levine, Jordan Gelber, Amanda Clayton, Daniel Sauli, Christine Evangelista, Tina Casciani",United States,11-Apr-20,2016,R,120 min,"Dramas, Sports Movies","After a devastating injury derails his career, scrappy world champion boxer Vinny Pazienza determines to make an against-all-odds comeback.",netflix,67.0,tt1620935,Dramas
19111,s6335,Movie,Blockbuster,July Hygreck,"Syrus Shahidi, Lionel Abelanski, Charlotte Gabris, Tom Hygreck, Sylvain Quimene, Laura Boujenah, Foed Amara",France,24-Jan-18,2017,TV-MA,85 min,"Comedies, Independent Movies, International Movies","Dumped over a video he made to amuse his ailing dad, a heartsick Jérémy hatches an elaborate scheme to win back his superhero-loving girlfriend, Lola.",netflix,15.0,tt2463842,Comedies
19113,s6337,Movie,Blood Father,Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks, William H. Macy, Miguel Sandoval, Dale Dickey, Richard Cabral, Daniel Moncada, Ryan Dorsey",France,26-Mar-20,2016,R,88 min,"Action & Adventure, International Movies",An ex-convict and estranged father finds the chance to prove himself when his daughter seeks his help shaking off a dangerous group of drug dealers.,netflix,69.0,tt3647498,Action & Adventure
19114,s6338,Movie,Blow,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta",United States,1-Oct-19,2001,R,123 min,Dramas,Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.,netflix,68.0,tt0221027,Dramas
19115,s6339,Movie,Blue Is the Warmest Color,Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing, Catherine Salée, Benjamin Siksou, Mona Walravens, Alma Jodorowsky, Jérémie Laheurte, Anne Loiret, Benoît Pilot, Sandor Funtek, Fanny Maurin","France, Belgium, Spain",26-Aug-16,2013,NC-17,180 min,"Dramas, Independent Movies, International Movies","Determined to fall in love, 15-year-old Adele is focused on boys. But it's a blue-haired girl she meets on the street who really piques her interest.",netflix,76.0,tt2278871,Dramas
19116,s6340,Movie,Blue Jasmine,Woody Allen,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Louis C.K., Bobby Cannavale, Andrew Dice Clay, Peter Sarsgaard, Michael Stuhlbarg, Tammy Blanchard, Max Casella, Alden Ehrenreich",United States,8-Mar-19,2013,PG-13,98 min,"Comedies, Dramas, Independent Movies",The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.,netflix,75.0,tt2334873,Comedies
19117,s6341,Movie,Blue Mountain State: The Rise of Thadland,Lev L. Spiro,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay, Chris Romano, Frankie Shaw, Omari Newton, Ed Marinaro, Dhani Jones, Ed Amatrudo, Jimmy Tatro",United States,1-Mar-16,2016,R,90 min,Comedies,"New NFL star Thad buys his old teammates' beloved frat house, renames it Thadland and throws the raunchiest, most debauched party in school history.",netflix,52.0,tt3748440,Comedies
19118,s6342,TV Show,Blue Planet II,,David Attenborough,United Kingdom,3-Dec-18,2017,TV-G,1 Season,"British TV Shows, Docuseries, Science & Nature TV","This sequel to the award-winning nature series ""Blue Planet"" dives beneath Earth's oceans to reveal the dazzling vistas and amazing creatures there.",netflix,90.0,tt6769208,British TV Shows
19119,s6343,Movie,Blue Ruin,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson","United States, France",25-Feb-19,2013,R,90 min,"Independent Movies, Thrillers","Bad news from the past unhinges vagabond Dwight Evans, sending him on a mission of bloody retribution that takes him to his childhood hometown.",netflix,77.0,tt2359024,Independent Movies
19120,s6344,Movie,Blue Streak,Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe","Germany, United States",1-Jan-21,1999,PG-13,94 min,"Action & Adventure, Comedies",A jewel thief returns to his hiding place after a stint in jail — only to find that his diamond is buried under a newly constructed police station.,netflix,59.0,tt0181316,Action & Adventure
19121,s6345,Movie,Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham",United States,5-Jul-18,2010,R,112 min,"Dramas, Independent Movies, Romantic Movies","As Cindy and Dean muddle through their languishing marriage, they hearken back to the golden days when life was filled with possibility and romance.",netflix,77.0,tt1120985,Dramas
19122,s6346,Movie,Blurred Lines: Inside the Art World,Barry Avrich,,Canada,31-Dec-17,2017,TV-MA,85 min,Documentaries,Artists and industry insiders shed light on the commercial forces behind the veneer of genius and glamour that often shrouds contemporary art.,netflix,11.0,tt5602204,Documentaries
19125,s6349,Movie,Bob's Broken Sleigh,Jay Surridge,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",Canada,17-Dec-15,2015,TV-G,47 min,Children & Family Movies,"An overly eager elf improves Santa's sleigh, but when he crash lands far from home, three odd critters pitch in to send him back to the North Pole.",netflix,8.0,tt5236758,Children & Family Movies
19126,s6350,Movie,Bobbi Jene,Elvira Lind,Bobbi Jene Smith,"Denmark, Sweden, Israel, United States",1-Jun-18,2017,TV-MA,99 min,Documentaries,This candid profile follows dancer Bobbi Jene Smith as she leaves the company of Israeli choreographer Ohad Naharin to forge her own artistic path.,netflix,57.0,tt6082630,Documentaries
19127,s6351,Movie,Bobby,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal",India,31-Dec-19,1973,TV-14,168 min,"Classic Movies, Dramas, International Movies","Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose.",netflix,34.0,tt0069810,Classic Movies
19128,s6352,Movie,Bobby Robson: More Than a Manager,"Gabriel Clarke, Torquil Jones",Bobby Robson,United Kingdom,1-Dec-18,2018,TV-14,99 min,"Documentaries, International Movies, Sports Movies","Explore the life and times of legendary soccer manager Bobby Robson, whose keen mind for the game was matched only by his devotion to his teams.",netflix,66.0,tt6864864,Documentaries
19129,s6353,Movie,Bobby Sands: 66 Days,Brendan Byrne,,"Ireland, United Kingdom",28-Sep-17,2016,TV-14,106 min,Documentaries,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",netflix,74.0,tt5931144,Documentaries
19130,s6354,Movie,Bokeh,"Geoffrey Orthwein, Andrew Sullivan","Maika Monroe, Matt O'Leary, Arnar Jónsson, Gunnar Helgason, Berglind Rós Sigurðardóttir","United States, Iceland",22-Jun-17,2017,TV-14,92 min,"Dramas, Independent Movies, Sci-Fi & Fantasy","After learning they are the sole survivors of an eerie apocalypse, a young American couple on vacation in Iceland ponder their love and the future.",netflix,50.0,tt3722062,Dramas
19131,s6355,Movie,Bolt,"Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings",United States,22-Jul-18,2008,PG,99 min,"Children & Family Movies, Comedies","This tale follows German shepherd Bolt, a canine actor who makes a cross-country trek when he's mistakenly shipped from Hollywood to New York City.",netflix,71.0,tt0397892,Children & Family Movies
19132,s6356,Movie,Bombshell: The Hedy Lamarr Story,Alexandra Dean,Hedy Lamarr,United States,31-May-18,2017,TV-14,89 min,Documentaries,"An unearthed audio interview of Hollywood icon Hedy Lamarr reveals a woman with brains as well as beauty, who was the first to patent frequency hopping.",netflix,74.0,tt6752848,Documentaries
19133,s6357,Movie,Bon Bini Holland,Jelle de Jonge,"Jandino Asporaat, Liliana de Vries, Teun Kuilboer, Sergio IJssel, Dennis Rudge, Alpha Oumar Barry, Phi Nguyen",Netherlands,1-Sep-16,2015,TV-MA,88 min,"Comedies, International Movies","On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme.",netflix,28.0,tt4247144,Comedies
19135,s6359,Movie,Bonnie and Clyde,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle, Dub Taylor, Evans Evans, Gene Wilder",United States,1-Jan-21,1967,R,111 min,"Action & Adventure, Classic Movies, Dramas","Bonnie Parker and Clyde Barrow are young, in love and on the run during a bullet-riddled bank robbery spree across Depression-ravaged America.",netflix,83.0,tt0061418,Action & Adventure
19136,s6360,Movie,Boom,Kaizad Gustad,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani",India,1-Mar-18,2003,TV-MA,79 min,"Action & Adventure, Dramas, International Movies","Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds.",netflix,10.0,tt0330082,Action & Adventure
19138,s6362,TV Show,Borderline,,"David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie",United Kingdom," December 2, 2017",2017,TV-14,2 Seasons,"British TV Shows, TV Comedies",A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.,netflix,31.0,tt5813158,British TV Shows
19139,s6363,Movie,Born Strong,"Gary Cohen, Ross Hockrow","Eddie Hall, Hafþór Júlíus Björnsson, Brian Shaw, Zydrunas Savickas",United States,31-Dec-17,2017,TV-MA,86 min,"Documentaries, Sports Movies",Four 400-pound giants fight for the crown at the Arnold Strongman Classic and offer a glimpse into their lives leading up to the competition.,netflix,30.0,tt7582508,Documentaries
19142,s6366,Movie,Bottom of the World,Richard Sears,"Jena Malone, Douglas Smith, Ted Levine, Tamara Duarte, Kelly Pendygraft, Mark Sivertsen, Jon McLaren","Canada, United States",28-May-20,2017,TV-MA,84 min,"Dramas, Independent Movies, Thrillers","En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality.",netflix,54.0,tt2337841,Dramas
19146,s6370,Movie,Brampton's Own,Michael Doneger,"Alex Russell, Rose McIver, Jean Smart, Scott Porter, Kevin Linehan, Spencer Grammer, Carter Hastings, Riley Voelkel, John Getz",United States,19-Apr-19,2018,TV-MA,90 min,"Dramas, Romantic Movies, Sports Movies","After 12 years in the minors, a struggling baseball player retires, returns home and faces the last person he struck out with – his ex-girlfriend.",netflix,22.0,tt6185692,Dramas
19148,s6372,TV Show,Brave Miss World,Cecilia Peck,Linor Abargil,"United States, Israel, Italy, South Africa",17-Feb-18,2013,TV-14,1 Season,"Crime TV Shows, Docuseries","Weeks before being named Miss World, Linor Abargil was raped. She tells the world her inspiring true story in this Emmy-nominated documentary.",netflix,30.0,tt2514298,Crime TV Shows
19149,s6373,Movie,Brave New Jersey,Jody Lambert,"Tony Hale, Anna Camp, Sam Jaeger, Heather Burns, Dan Bakkedahl, Raymond J. Barry, Erika Alexander, Mel Rodriguez, Evan Jonigkeit, Grace Kaufman",United States,15-Dec-17,2016,TV-MA,92 min,"Comedies, Independent Movies",Small-town residents mistake an Orson Welles radio broadcast for news about an alien invasion and are emboldened to act as they await an apocalypse.,netflix,24.0,tt4660172,Comedies
19152,s6376,Movie,Breath,Simon Baker,"Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh, Rachael Blake, Jacek Koman",Australia,5-Dec-18,2018,TV-MA,116 min,"Dramas, Sports Movies","In mid-1970s Australia, two small-town teenage boys befriend an enigmatic middle-aged surfer, who urges them to see the thrill in facing their fears.",netflix,67.0,tt1553659,Dramas
19153,s6377,Movie,Brick,Rian Johnson,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas, Noah Fleiss, Matt O'Leary, Emilie de Ravin, Noah Segan, Richard Roundtree, Meagan Good, Brian White",United States,1-Sep-18,2005,R,110 min,"Independent Movies, Thrillers",Teenage loner Brendan Fry navigates his high school's intense social network to discover a killer's identity after his secret crush is murdered.,netflix,74.0,tt0393109,Independent Movies
19156,s6380,Movie,Brooklyn's Finest,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Will Patton, Lili Taylor, Michael Kenneth Williams, Brían F. O'Byrne, Shannon Kane, Ellen Barkin, Vincent D'Onofrio, Logan Marshall-Green",United States,1-Oct-18,2009,R,133 min,"Dramas, Thrillers","Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.",netflix,58.0,tt1210042,Dramas
19157,s6381,Movie,Brotherhood of Blades II: The Infernal Battlefield,Lu Yang,"Chang Chen, Yang Mi, Zhang Yi, Lei Jiayin, Xin Zhilei, Shih Chieh King",China,28-Nov-18,2017,TV-MA,120 min,"Action & Adventure, International Movies","While tracking down a seditious painter, an imperial guard is accused of a royal assassination attempt and framed in a complicated conspiracy.",netflix,45.0,tt7055592,Action & Adventure
19163,s6387,Movie,Buffalo Boys,Mike Wiluan,"Yoshua Sudarso, Ario Bayu, Pevita Pearce, Tio Pakusadewo, Reinout Bussemaker, Mikha Tambayong, Happy Salma, Alex Abbad, Zack Lee","Indonesia, Singapore",12-Apr-19,2018,TV-MA,103 min,"Action & Adventure, International Movies",Two Indonesian brothers learn the ways of the American cowboy before returning home to avenge the murder of their father.,netflix,59.0,tt6917210,Action & Adventure
19164,s6388,Movie,Bugs,Andreas Johnsen,,"Netherlands, Denmark, France, Germany",20-Feb-18,2016,TV-G,73 min,"Documentaries, International Movies",A willing team of chefs and researchers goes on a gastronomic adventure around the globe to weigh the benefits of using bugs as a future food source.,netflix,29.0,tt5497906,Documentaries
19165,s6389,Movie,Bullitt County,David McCracken,"Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle",United States,1-Jun-19,2018,TV-MA,98 min,"Independent Movies, Thrillers","When four college friends reunite for a bachelor party, their hunt for cash said to be hidden in Kentucky's backwoods leads to bloodshed and betrayal.",netflix,56.0,tt6140148,Independent Movies
19167,s6391,Movie,Burlesque,Steve Antin,"Cher, Christina Aguilera, Alan Cumming, Eric Dane, Cam Gigandet, Julianne Hough, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron",United States,16-Dec-19,2010,PG-13,119 min,"Dramas, Romantic Movies","After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",netflix,60.0,tt1126591,Dramas
19168,s6392,Movie,Burlesque: Heart of the Glitter Tribe,Jon Manning,,United States,1-Jun-17,2017,TV-MA,76 min,Documentaries,"This revealing documentary probes the onstage personas of Portland, Oregon, burlesque performers who practice wildly different art forms.",netflix,23.0,tt5143770,Documentaries
19171,s6395,Movie,Bushwick,"Cary Murnion, Jonathan Milott","Dave Bautista, Brittany Snow, Angelic Zambrana, Jeremie Harris, Myra Lucretia Taylor, Arturo Castro, Christian Navarro",United States,24-Nov-17,2017,TV-MA,94 min,"Action & Adventure, Independent Movies","When their diverse neighborhood is besieged by a mysterious militia, a grad student and an ex-Marine become an unlikely team in a battle for survival.",netflix,44.0,tt4720702,Action & Adventure
19174,s6398,Movie,Cabin Fever,Travis Zariwny,"Gage Golightly, Matthew Daddario, Samuel Davis, Nadine Crocker, Dustin Ingram, Randy Schulman",United States,6-Jun-19,2016,R,98 min,"Horror Movies, Thrillers","As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next.",netflix,36.0,tt3832096,Horror Movies
19184,s6408,TV Show,Call Me Francis,,"Rodrigo de la Serna, Sergio Hernández, Mercedes Morán, Muriel Santa Ana, Alex Brendemühl, Maximilian Dirr, Andres Gil, Marco Di Tieri",Italy,16-Dec-16,2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","On his path to becoming Pope Francis, Father Jorge Bergoglio pursues his religious vocation in a country ravaged by a brutal military dictatorship.",netflix,19.0,tt3856124,International TV Shows
